,1,2,3
0,0.0,0.0,1.0
1,0.05,0.0,0.95
2,0.11,0.0,0.89
3,0.16,0.0,0.84
4,0.21,0.0,0.79
5,0.26,0.0,0.74
6,0.32,0.0,0.68
7,0.37,0.0,0.63
8,0.42,0.0,0.58
9,0.47,0.0,0.53
10,0.53,0.0,0.47
11,0.58,0.0,0.42
12,0.63,0.0,0.37
13,0.68,0.0,0.32
14,0.74,0.0,0.26
15,0.79,0.0,0.21
16,0.84,0.0,0.16
17,0.89,0.0,0.11
18,0.95,0.0,0.05
19,1.0,0.0,0.0
20,0.0,0.05,0.95
21,0.05,0.05,0.89
22,0.11,0.05,0.84
23,0.16,0.05,0.79
24,0.21,0.05,0.74
25,0.26,0.05,0.68
26,0.32,0.05,0.63
27,0.37,0.05,0.58
28,0.42,0.05,0.53
29,0.47,0.05,0.47
30,0.53,0.05,0.42
31,0.58,0.05,0.37
32,0.63,0.05,0.32
33,0.68,0.05,0.26
34,0.74,0.05,0.21
35,0.79,0.05,0.16
36,0.84,0.05,0.11
37,0.89,0.05,0.05
38,0.95,0.05,0.0
39,0.0,0.11,0.89
40,0.05,0.11,0.84
41,0.11,0.11,0.79
42,0.16,0.11,0.74
43,0.21,0.11,0.68
44,0.26,0.11,0.63
45,0.32,0.11,0.58
46,0.37,0.11,0.53
47,0.42,0.11,0.47
48,0.47,0.11,0.42
49,0.53,0.11,0.37
50,0.58,0.11,0.32
51,0.63,0.11,0.26
52,0.68,0.11,0.21
53,0.74,0.11,0.16
54,0.79,0.11,0.11
55,0.84,0.11,0.05
56,0.89,0.11,0.0
57,0.0,0.16,0.84
58,0.05,0.16,0.79
59,0.11,0.16,0.74
60,0.16,0.16,0.68
61,0.21,0.16,0.63
62,0.26,0.16,0.58
63,0.32,0.16,0.53
64,0.37,0.16,0.47
65,0.42,0.16,0.42
66,0.47,0.16,0.37
67,0.53,0.16,0.32
68,0.58,0.16,0.26
69,0.63,0.16,0.21
70,0.68,0.16,0.16
71,0.74,0.16,0.11
72,0.79,0.16,0.05
