Alloy,Calphad,Model
Cr-Fe-Mn,616.9826964,1200.0
Fe-Mn-V,329.8425089,1000.0
Cr-Mn-V,395.8515832,600.0
Cr-Fe-V,471.4569306,1200.0
Cr-Ti-V,908.585428,2200.0
Cr-Hf-V,,
Fe-Ta-V,709.3701544,1200.0
Cr-Ta-Ti,,2000.0
Ta-Ti-V,435.6153705,1200.0
Cr-Ta-V,430.7322614,2200.0
Cr-Fe-W,,2600.0
Fe-V-W,,2400.0
Cr-Ti-W,1195.222264,2400.0
Cr-Hf-Ta,,
Hf-Ta-V,,2600.0
Cr-V-W,824.424254,1600.0
Hf-V-W,,
Fe-Ta-W,,2600.0
Ta-Ti-W,1529.501647,1000.0
Cr-Ta-W,,2600.0
Ta-V-W,1174.562744,1000.0
Hf-Ta-W,,2600.0
Cr-Fe-Mn-V,409.1963467,1000.0
Cr-Mn-Ti-V,851.782906,1600.0
Cr-Fe-Ta-V,,1600.0
Fe-Ti-V-W,,2200.0
Cr-Fe-V-W,1433.479909,1800.0
Cr-Ti-V-W,797.370398,1800.0
Fe-Ta-V-W,,2000.0
Cr-Ta-Ti-W,,2200.0
Ta-Ti-V-W,1124.054048,1000.0
Cr-Ta-V-W,,2000.0
Cr-Hf-Ta-W,,2800.0
Hf-Ta-V-W,,2800.0
Cr-Fe-Ta-V-W,,2000.0
Cr-Ta-Ti-V-W,1304.366557,1800.0
Cr-Hf-Ta-V-W,,3000.0
