Alloy,Calphad,Model
Cr-Fe-Mn,616.9826964,
Fe-Mn-V,329.8425089,
Cr-Mn-V,395.8515832,
Cr-Fe-V,471.4569306,1100
Cr-Ti-V,908.585428,940
Cr-Hf-V,,
Fe-Ta-V,709.3701544,1860
Cr-Ta-Ti,,1620
Ta-Ti-V,435.6153705,1380
Cr-Ta-V,430.7322614,1860
Cr-Fe-W,,
Fe-V-W,,
Cr-Ti-W,1195.222264,1580
Cr-Hf-Ta,,2680
Hf-Ta-V,,1940
Cr-V-W,824.424254,1380
Hf-V-W,,1700
Fe-Ta-W,,
Ta-Ti-W,1529.501647,780
Cr-Ta-W,,2500
Ta-V-W,1174.562744,1120
Hf-Ta-W,,1540
Cr-Fe-Mn-V,409.1963467,
Cr-Mn-Ti-V,851.782906,1700
Cr-Fe-Ta-V,,1940
Fe-Ti-V-W,,1740
Cr-Fe-V-W,1433.479909,1440
Cr-Ti-V-W,797.370398,1180
Fe-Ta-V-W,,1900
Cr-Ta-Ti-W,,1680
Ta-Ti-V-W,1124.054048,1020
Cr-Ta-V-W,,1880
Cr-Hf-Ta-W,,2360
Hf-Ta-V-W,,1540
Cr-Fe-Ta-V-W,,1740
Cr-Ta-Ti-V-W,1304.366557,1320
Cr-Hf-Ta-V-W,,1940
