Alloy,CalphadC,Calphad,Model,Expt
Fe-Mn,449.6121403,722.6121403,520,720
Mn-Ti,321.9492058,594.9492058,,
Cr-Mn,895.390268,1168.390268,980,1120
Mn-V,642.3842541,915.3842541,,920
Fe-Ti,1036.543732,1309.543732,,
Cr-Fe,512.8318997,785.8318997,,1000
Fe-V,0,0,840,1500
Cr-Ti,1308.832084,1581.832084,1660,1650
Ti-V,446.4616422,719.4616422,700,1000
Fe-Hf,,,,
Cr-V,42.0426633,315.0426633,0,0
Cr-Hf,,,,
Hf-V,,,1760,
Fe-Ta,0,0,,
Ta-Ti,601.9376563,874.9376563,720,1000
Cr-Ta,,,,
Ta-V,1365.841831,1638.841831,2660,1700
Fe-W,1455.288944,1728.288944,,
Ti-W,1154.768091,1427.768091,60,1200
Hf-Ta,1128.307185,1401.307185,1200,1350
Cr-W,1627.262969,1900.262969,2160,1950
Hf-W,,,2600,
Ta-W,0,0,0,0
