,mix_enthalpy,config_entropy
Ag-Al-Au-Cd,-0.55,0.1386
Ag-Al-Au-Co,-0.2,0.1386
Ag-Al-Au-Cr,0.42,0.1386
Ag-Al-Au-Cu,-0.42000000000000004,0.1386
Ag-Al-Au-Fe,-0.11999999999999997,0.1386
Ag-Al-Au-Hf,-1.18,0.1386
Ag-Al-Au-Ir,-1.06,0.1386
Ag-Al-Au-Mg,-1.03,0.1386
Ag-Al-Au-Mn,-0.29999999999999993,0.1386
Ag-Al-Au-Mo,0.16,0.1386
Ag-Al-Au-Nb,-0.34,0.1386
Ag-Al-Au-Ni,-0.5700000000000001,0.1386
Ag-Al-Au-Os,-0.62,0.1386
Ag-Al-Au-Pd,-1.1800000000000002,0.1386
Ag-Al-Au-Pt,-1.16,0.1386
Ag-Al-Au-Re,0.10000000000000003,0.1386
Ag-Al-Au-Rh,-1.07,0.1386
Ag-Al-Au-Ta,-0.22000000000000003,0.1386
Ag-Al-Au-Ti,-1.01,0.1386
Ag-Al-Au-V,-0.17,0.1386
Ag-Al-Au-W,0.55,0.1386
Ag-Al-Au-Zn,-0.67,0.1386
Ag-Al-Au-Zr,-1.1600000000000001,0.1386
Ag-Al-Cd-Co,0.19,0.1386
Ag-Al-Cd-Cr,0.97,0.1386
Ag-Al-Cd-Cu,-0.009999999999999995,0.1386
Ag-Al-Cd-Fe,0.3400000000000001,0.1386
Ag-Al-Cd-Hf,-0.45999999999999996,0.1386
Ag-Al-Cd-Ir,-0.8600000000000001,0.1386
Ag-Al-Cd-Mg,-0.31000000000000005,0.1386
Ag-Al-Cd-Mn,0.26,0.1386
Ag-Al-Cd-Mo,0.6,0.1386
Ag-Al-Cd-Nb,0.22000000000000003,0.1386
Ag-Al-Cd-Ni,-0.24000000000000002,0.1386
Ag-Al-Cd-Os,-0.28,0.1386
Ag-Al-Cd-Pd,-1.09,0.1386
Ag-Al-Cd-Pt,-1.1099999999999999,0.1386
Ag-Al-Cd-Re,0.48,0.1386
Ag-Al-Cd-Rh,-0.93,0.1386
Ag-Al-Cd-Ta,0.3999999999999999,0.1386
Ag-Al-Cd-Ti,-0.35,0.1386
Ag-Al-Cd-V,0.38,0.1386
Ag-Al-Cd-W,1.0300000000000002,0.1386
Ag-Al-Cd-Zn,-0.08,0.1386
Ag-Al-Cd-Zr,-0.49,0.1386
Ag-Al-Co-Cr,0.44000000000000006,0.1386
Ag-Al-Co-Cu,0.0,0.1386
Ag-Al-Co-Fe,0.1100000000000001,0.1386
