comp,off_equi,mix_enthalpy,config_entropy
Cr-Fe-Hf-Ta,{},0.1555475,0.0001195
Cr-Fe-Hf-V,{},0.113254,0.0001195
Cr-Fe-Hf-W,{},0.1943608,0.0001195
Cr-Fe-Mn-Ti,{},-0.0108931,0.0001195
Cr-Fe-Mn-V,{},-0.0512722,0.0001195
Cr-Fe-Ta-Ti,{},0.0695221,0.0001195
Cr-Fe-Ta-V,{},0.048866,0.0001195
Cr-Fe-Ta-W,{},0.1098678,0.0001195
Cr-Fe-Ti-V,{},0.0119994,0.0001195
Cr-Fe-Ti-W,{},0.0855169,0.0001195
Cr-Fe-V-W,{},0.0495835,0.0001195
Cr-Hf-Ta-V,{},0.1592508,0.0001195
Cr-Hf-Ta-W,{},0.1565358,0.0001195
Cr-Hf-V-W,{},0.1311089,0.0001195
Cr-Mn-Ti-V,{},-0.0590472,0.0001195
Cr-Ta-Ti-V,{},0.0906954,0.0001195
Cr-Ta-Ti-W,{},0.0803911,0.0001195
Cr-Ta-V-W,{},0.0248989,0.0001195
Cr-Ti-V-W,{},0.039735,0.0001195
Fe-Hf-Ta-V,{},0.0936728,0.0001195
Fe-Hf-Ta-W,{},0.1027845,0.0001195
Fe-Hf-V-W,{},0.0994362,0.0001195
Fe-Mn-Ti-V,{},-0.106636,0.0001195
Fe-Ta-Ti-V,{},0.0166876,0.0001195
Fe-Ta-Ti-W,{},0.01821,0.0001195
Fe-Ta-V-W,{},0.0237739,0.0001195
Fe-Ti-V-W,{},-0.0003675,0.0001195
Hf-Ta-V-W,{},0.0820248,0.0001195
Ta-Ti-V-W,{},0.0149203,0.0001195
