,mix_enthalpy,config_entropy
Ag-Al-As-Au,-0.1260539,0.0001195
Ag-Al-As-Bi,-0.0159306,0.0001195
Ag-Al-As-Cd,-0.0459031,0.0001195
Ag-Al-As-Co,-0.0446391,0.0001195
Ag-Al-As-Cr,0.0678804,0.0001195
Ag-Al-As-Cu,-0.0416839,0.0001195
Ag-Al-As-Fe,-0.0413335,0.0001195
Ag-Al-As-Ga,-0.0632431,0.0001195
Ag-Al-As-Ge,-0.0639358,0.0001195
Ag-Al-As-Hf,-0.246591,0.0001195
Ag-Al-As-Hg,0.0010359,0.0001195
Ag-Al-As-In,-0.0301754,0.0001195
Ag-Al-As-Ir,-0.0754872,0.0001195
Ag-Al-As-Mg,-0.1801427,0.0001195
Ag-Al-As-Mn,-0.0430703,0.0001195
Ag-Al-As-Mo,0.0186298,0.0001195
Ag-Al-As-Nb,-0.1164874,0.0001195
Ag-Al-As-Ni,-0.1398987,0.0001195
Ag-Al-As-Os,0.1407678,0.0001195
Ag-Al-As-Pb,0.0249312,0.0001195
Ag-Al-As-Pd,-0.303036,0.0001195
Ag-Al-As-Pt,-0.2935295,0.0001195
Ag-Al-As-Re,0.1223,0.0001195
Ag-Al-As-Rh,-0.2193572,0.0001195
Ag-Al-As-Ru,-0.0163646,0.0001195
Ag-Al-As-Sb,-0.0537644,0.0001195
Ag-Al-As-Sc,-0.3771912,0.0001195
Ag-Al-As-Si,-0.0703019,0.0001195
Ag-Al-As-Sn,-0.0224253,0.0001195
Ag-Al-As-Ta,-0.0527615,0.0001195
Ag-Al-As-Te,-0.1419595,0.0001195
Ag-Al-As-Ti,-0.2565086,0.0001195
Ag-Al-As-V,-0.0757412,0.0001195
Ag-Al-As-W,0.1361445,0.0001195
Ag-Al-As-Y,-0.373239,0.0001195
Ag-Al-As-Zn,-0.0411862,0.0001195
Ag-Al-As-Zr,-0.3067349,0.0001195
Ag-Al-Au-Bi,-0.017768,0.0001195
Ag-Al-Au-Cd,-0.0687103,0.0001195
Ag-Al-Au-Co,0.0405471,0.0001195
Ag-Al-Au-Cr,0.1596326,0.0001195
Ag-Al-Au-Cu,-0.0442344,0.0001195
Ag-Al-Au-Fe,0.0182549,0.0001195
Ag-Al-Au-Ga,-0.0794324,0.0001195
Ag-Al-Au-Ge,-0.0495824,0.0001195
Ag-Al-Au-Hf,-0.1717219,0.0001195
Ag-Al-Au-Hg,0.0242718,0.0001195
Ag-Al-Au-In,-0.0271135,0.0001195
Ag-Al-Au-Ir,0.0226198,0.0001195
Ag-Al-Au-Mg,-0.1931778,0.0001195
Ag-Al-Au-Mn,0.0075354,0.0001195
Ag-Al-Au-Mo,0.0836171,0.0001195
Ag-Al-Au-Nb,-0.0367473,0.0001195
Ag-Al-Au-Ni,-0.053772,0.0001195
Ag-Al-Au-Os,0.2252584,0.0001195
Ag-Al-Au-Pb,0.0355255,0.0001195
Ag-Al-Au-Pd,-0.2333383,0.0001195
Ag-Al-Au-Pt,-0.2103373,0.0001195
Ag-Al-Au-Re,0.197969,0.0001195
Ag-Al-Au-Rh,-0.0907356,0.0001195
Ag-Al-Au-Ru,0.1108809,0.0001195
Ag-Al-Au-Sb,-0.0497079,0.0001195
Ag-Al-Au-Sc,-0.2882569,0.0001195
Ag-Al-Au-Si,-0.0808315,0.0001195
Ag-Al-Au-Sn,-0.020831,0.0001195
Ag-Al-Au-Ta,0.0033093,0.0001195
Ag-Al-Au-Te,-0.1200646,0.0001195
Ag-Al-Au-Ti,-0.1627083,0.0001195
Ag-Al-Au-V,0.0061252,0.0001195
Ag-Al-Au-W,0.1857648,0.0001195
Ag-Al-Au-Y,-0.2748374,0.0001195
Ag-Al-Au-Zn,-0.0883726,0.0001195
Ag-Al-Au-Zr,-0.2103317,0.0001195
Ag-Al-Bi-Cd,0.0879814,0.0001195
Ag-Al-Bi-Co,0.1563477,0.0001195
Ag-Al-Bi-Cr,0.310039,0.0001195
Ag-Al-Bi-Cu,0.1173641,0.0001195
Ag-Al-Bi-Fe,0.1566062,0.0001195
Ag-Al-Bi-Ga,0.0788576,0.0001195
Ag-Al-Bi-Ge,0.0738506,0.0001195
Ag-Al-Bi-Hf,0.0122629,0.0001195
Ag-Al-Bi-Hg,0.1209297,0.0001195
Ag-Al-Bi-In,0.1002239,0.0001195
Ag-Al-Bi-Ir,0.1153371,0.0001195
Ag-Al-Bi-Mg,0.0053209,0.0001195
Ag-Al-Bi-Mn,0.1922874,0.0001195
Ag-Al-Bi-Mo,0.2185179,0.0001195
Ag-Al-Bi-Nb,0.1428497,0.0001195
Ag-Al-Bi-Ni,0.0559813,0.0001195
Ag-Al-Bi-Os,0.3487247,0.0001195
Ag-Al-Bi-Pb,0.1430208,0.0001195
Ag-Al-Bi-Pd,-0.1567282,0.0001195
Ag-Al-Bi-Pt,-0.1420463,0.0001195
Ag-Al-Bi-Re,0.3098123,0.0001195
Ag-Al-Bi-Rh,-0.0109582,0.0001195
Ag-Al-Bi-Ru,0.2036119,0.0001195
Ag-Al-Bi-Sb,0.0628658,0.0001195
Ag-Al-Bi-Sc,-0.142132,0.0001195
Ag-Al-Bi-Si,0.0562704,0.0001195
Ag-Al-Bi-Sn,0.1018509,0.0001195
Ag-Al-Bi-Ta,0.2153126,0.0001195
Ag-Al-Bi-Te,-0.0475189,0.0001195
Ag-Al-Bi-Ti,0.0178571,0.0001195
Ag-Al-Bi-V,0.2036519,0.0001195
Ag-Al-Bi-W,0.3335202,0.0001195
Ag-Al-Bi-Y,-0.1627427,0.0001195
Ag-Al-Bi-Zn,0.0915578,0.0001195
Ag-Al-Bi-Zr,-0.0625585,0.0001195
Ag-Al-Cd-Co,0.1493574,0.0001195
Ag-Al-Cd-Cr,0.3096782,0.0001195
Ag-Al-Cd-Cu,0.0709348,0.0001195
Ag-Al-Cd-Fe,0.1447119,0.0001195
Ag-Al-Cd-Ga,0.059855,0.0001195
Ag-Al-Cd-Ge,0.059718,0.0001195
Ag-Al-Cd-Hf,0.0178789,0.0001195
Ag-Al-Cd-Hg,0.1017152,0.0001195
Ag-Al-Cd-In,0.094776,0.0001195
Ag-Al-Cd-Ir,0.0846632,0.0001195
Ag-Al-Cd-Mg,-0.000749,0.0001195
Ag-Al-Cd-Mn,0.1597394,0.0001195
Ag-Al-Cd-Mo,0.2054168,0.0001195
Ag-Al-Cd-Nb,0.11642,0.0001195
Ag-Al-Cd-Ni,0.0412694,0.0001195
Ag-Al-Cd-Os,0.3203939,0.0001195
Ag-Al-Cd-Pb,0.139532,0.0001195
Ag-Al-Cd-Pd,-0.1990105,0.0001195
Ag-Al-Cd-Pt,-0.1850882,0.0001195
Ag-Al-Cd-Re,0.3051192,0.0001195
Ag-Al-Cd-Rh,-0.0404627,0.0001195
Ag-Al-Cd-Ru,0.1715954,0.0001195
Ag-Al-Cd-Sb,0.0525269,0.0001195
Ag-Al-Cd-Sc,-0.091972,0.0001195
Ag-Al-Cd-Si,0.0522833,0.0001195
Ag-Al-Cd-Sn,0.0964786,0.0001195
Ag-Al-Cd-Ta,0.1701688,0.0001195
Ag-Al-Cd-Te,-0.0879665,0.0001195
Ag-Al-Cd-Ti,0.0155378,0.0001195
Ag-Al-Cd-V,0.1605835,0.0001195
Ag-Al-Cd-W,0.3171862,0.0001195
Ag-Al-Cd-Y,-0.0824163,0.0001195
Ag-Al-Cd-Zn,0.0711566,0.0001195
Ag-Al-Cd-Zr,-0.0308549,0.0001195
Ag-Al-Co-Cr,0.1995122,0.0001195
Ag-Al-Co-Cu,0.0972245,0.0001195
Ag-Al-Co-Fe,0.0776694,0.0001195
Ag-Al-Co-Ga,0.0478317,0.0001195
Ag-Al-Co-Ge,0.0440633,0.0001195
Ag-Al-Co-Hf,-0.001488,0.0001195
Ag-Al-Co-Hg,0.1973929,0.0001195
Ag-Al-Co-In,0.1535839,0.0001195
Ag-Al-Co-Ir,0.0795702,0.0001195
Ag-Al-Co-Mg,0.0703178,0.0001195
Ag-Al-Co-Mn,0.1094544,0.0001195
Ag-Al-Co-Mo,0.1623405,0.0001195
Ag-Al-Co-Nb,0.0822429,0.0001195
Ag-Al-Co-Ni,0.0316173,0.0001195
Ag-Al-Co-Os,0.2483824,0.0001195
Ag-Al-Co-Pb,0.2238765,0.0001195
Ag-Al-Co-Pd,-0.0914698,0.0001195
Ag-Al-Co-Pt,-0.1149613,0.0001195
Ag-Al-Co-Re,0.2124446,0.0001195
Ag-Al-Co-Rh,-0.0030062,0.0001195
Ag-Al-Co-Ru,0.1501192,0.0001195
Ag-Al-Co-Sb,0.0856368,0.0001195
Ag-Al-Co-Sc,-0.0484102,0.0001195
Ag-Al-Co-Si,-0.0797292,0.0001195
Ag-Al-Co-Sn,0.1722201,0.0001195
Ag-Al-Co-Ta,0.0991988,0.0001195
Ag-Al-Co-Te,-0.0038601,0.0001195
Ag-Al-Co-Ti,-0.0290815,0.0001195
Ag-Al-Co-V,0.0783324,0.0001195
Ag-Al-Co-W,0.2341629,0.0001195
Ag-Al-Co-Y,0.0079173,0.0001195
Ag-Al-Co-Zn,0.0665537,0.0001195
Ag-Al-Co-Zr,-0.0159317,0.0001195
Ag-Al-Cr-Cu,0.210741,0.0001195
Ag-Al-Cr-Fe,0.1818797,0.0001195
Ag-Al-Cr-Ga,0.1586443,0.0001195
Ag-Al-Cr-Ge,0.1550045,0.0001195
Ag-Al-Cr-Hf,0.1555638,0.0001195
Ag-Al-Cr-Hg,0.3491906,0.0001195
Ag-Al-Cr-In,0.3191899,0.0001195
Ag-Al-Cr-Ir,0.1261037,0.0001195
Ag-Al-Cr-Mg,0.2176699,0.0001195
Ag-Al-Cr-Mn,0.1788254,0.0001195
Ag-Al-Cr-Mo,0.22631,0.0001195
Ag-Al-Cr-Nb,0.1835102,0.0001195
Ag-Al-Cr-Ni,0.116211,0.0001195
Ag-Al-Cr-Os,0.3106229,0.0001195
Ag-Al-Cr-Pb,0.3993044,0.0001195
Ag-Al-Cr-Pd,0.0017308,0.0001195
Ag-Al-Cr-Pt,-0.0580615,0.0001195
Ag-Al-Cr-Re,0.2835537,0.0001195
Ag-Al-Cr-Rh,0.0523352,0.0001195
Ag-Al-Cr-Ru,0.2148886,0.0001195
Ag-Al-Cr-Sb,0.2330018,0.0001195
Ag-Al-Cr-Sc,0.1203288,0.0001195
Ag-Al-Cr-Si,0.0400772,0.0001195
Ag-Al-Cr-Sn,0.2956392,0.0001195
Ag-Al-Cr-Ta,0.2047692,0.0001195
Ag-Al-Cr-Te,0.103706,0.0001195
Ag-Al-Cr-Ti,0.1047654,0.0001195
Ag-Al-Cr-V,0.1583386,0.0001195
Ag-Al-Cr-W,0.2957592,0.0001195
Ag-Al-Cr-Y,0.1893908,0.0001195
Ag-Al-Cr-Zn,0.1821608,0.0001195
Ag-Al-Cr-Zr,0.1407239,0.0001195
Ag-Al-Cu-Fe,0.0946019,0.0001195
Ag-Al-Cu-Ga,0.0329585,0.0001195
Ag-Al-Cu-Ge,0.0465626,0.0001195
Ag-Al-Cu-Hf,0.0026274,0.0001195
Ag-Al-Cu-Hg,0.1382792,0.0001195
Ag-Al-Cu-In,0.1163997,0.0001195
Ag-Al-Cu-Ir,0.0432063,0.0001195
Ag-Al-Cu-Mg,0.000729,0.0001195
Ag-Al-Cu-Mn,0.1103206,0.0001195
Ag-Al-Cu-Mo,0.1667573,0.0001195
Ag-Al-Cu-Nb,0.088896,0.0001195
Ag-Al-Cu-Ni,0.0046635,0.0001195
Ag-Al-Cu-Os,0.245671,0.0001195
Ag-Al-Cu-Pb,0.186331,0.0001195
Ag-Al-Cu-Pd,-0.1587387,0.0001195
Ag-Al-Cu-Pt,-0.166024,0.0001195
Ag-Al-Cu-Re,0.2317028,0.0001195
Ag-Al-Cu-Rh,-0.0405348,0.0001195
Ag-Al-Cu-Ru,0.1331563,0.0001195
Ag-Al-Cu-Sb,0.059765,0.0001195
Ag-Al-Cu-Sc,-0.07876,0.0001195
Ag-Al-Cu-Si,0.010539,0.0001195
Ag-Al-Cu-Sn,0.1110139,0.0001195
Ag-Al-Cu-Ta,0.1202497,0.0001195
Ag-Al-Cu-Te,-0.0393278,0.0001195
Ag-Al-Cu-Ti,-0.0122398,0.0001195
Ag-Al-Cu-V,0.1085797,0.0001195
Ag-Al-Cu-W,0.2565358,0.0001195
Ag-Al-Cu-Y,-0.0410763,0.0001195
Ag-Al-Cu-Zn,0.0200675,0.0001195
Ag-Al-Cu-Zr,-0.0302428,0.0001195
Ag-Al-Fe-Ga,0.0471166,0.0001195
Ag-Al-Fe-Ge,0.0567674,0.0001195
Ag-Al-Fe-Hf,0.0299172,0.0001195
Ag-Al-Fe-Hg,0.2108688,0.0001195
Ag-Al-Fe-In,0.1715883,0.0001195
Ag-Al-Fe-Ir,0.0446153,0.0001195
Ag-Al-Fe-Mg,0.0816935,0.0001195
Ag-Al-Fe-Mn,0.1075059,0.0001195
Ag-Al-Fe-Mo,0.1560511,0.0001195
Ag-Al-Fe-Nb,0.085508,0.0001195
Ag-Al-Fe-Ni,0.0139564,0.0001195
Ag-Al-Fe-Os,0.2316982,0.0001195
Ag-Al-Fe-Pb,0.2274906,0.0001195
Ag-Al-Fe-Pd,-0.1188984,0.0001195
Ag-Al-Fe-Pt,-0.1504655,0.0001195
Ag-Al-Fe-Re,0.2086696,0.0001195
Ag-Al-Fe-Rh,-0.0320685,0.0001195
Ag-Al-Fe-Ru,0.1343197,0.0001195
Ag-Al-Fe-Sb,0.08667,0.0001195
Ag-Al-Fe-Sc,-0.0169409,0.0001195
Ag-Al-Fe-Si,-0.0558912,0.0001195
Ag-Al-Fe-Sn,0.1707,0.0001195
Ag-Al-Fe-Ta,0.1041547,0.0001195
Ag-Al-Fe-Te,0.0007485,0.0001195
Ag-Al-Fe-Ti,-0.019648,0.0001195
Ag-Al-Fe-V,0.0656453,0.0001195
Ag-Al-Fe-W,0.2282888,0.0001195
Ag-Al-Fe-Y,0.0535389,0.0001195
Ag-Al-Fe-Zn,0.0657976,0.0001195
Ag-Al-Fe-Zr,0.0096567,0.0001195
Ag-Al-Ga-Ge,0.0413193,0.0001195
Ag-Al-Ga-Hf,-0.079814,0.0001195
Ag-Al-Ga-Hg,0.0971998,0.0001195
Ag-Al-Ga-In,0.0806477,0.0001195
Ag-Al-Ga-Ir,-0.0162762,0.0001195
Ag-Al-Ga-Mg,-0.0175169,0.0001195
Ag-Al-Ga-Mn,0.0690313,0.0001195
Ag-Al-Ga-Mo,0.0951729,0.0001195
Ag-Al-Ga-Nb,-0.000177,0.0001195
Ag-Al-Ga-Ni,-0.0681105,0.0001195
Ag-Al-Ga-Os,0.2108545,0.0001195
Ag-Al-Ga-Pb,0.1368243,0.0001195
Ag-Al-Ga-Pd,-0.2631665,0.0001195
Ag-Al-Ga-Pt,-0.2682099,0.0001195
Ag-Al-Ga-Re,0.1966083,0.0001195
Ag-Al-Ga-Rh,-0.1588692,0.0001195
Ag-Al-Ga-Ru,0.0586085,0.0001195
Ag-Al-Ga-Sb,0.0393459,0.0001195
Ag-Al-Ga-Sc,-0.1612419,0.0001195
Ag-Al-Ga-Si,0.0299081,0.0001195
Ag-Al-Ga-Sn,0.0846837,0.0001195
Ag-Al-Ga-Ta,0.0519239,0.0001195
Ag-Al-Ga-Te,-0.0910426,0.0001195
Ag-Al-Ga-Ti,-0.0943101,0.0001195
Ag-Al-Ga-V,0.0359567,0.0001195
Ag-Al-Ga-W,0.2076549,0.0001195
Ag-Al-Ga-Y,-0.1405967,0.0001195
Ag-Al-Ga-Zn,0.0498648,0.0001195
Ag-Al-Ga-Zr,-0.1309614,0.0001195
Ag-Al-Ge-Hf,-0.1278604,0.0001195
Ag-Al-Ge-Hg,0.1096787,0.0001195
Ag-Al-Ge-In,0.0814373,0.0001195
