,mix_enthalpy,config_entropy
Ag-Al-Au-Cd,-0.1375,0.0001195
Ag-Al-Au-Co,-0.05,0.0001195
Ag-Al-Au-Cr,0.105,0.0001195
Ag-Al-Au-Cu,-0.105,0.0001195
Ag-Al-Au-Fe,-0.03,0.0001195
Ag-Al-Au-Hf,-0.295,0.0001195
Ag-Al-Au-Ir,-0.265,0.0001195
Ag-Al-Au-Mg,-0.2575,0.0001195
Ag-Al-Au-Mn,-0.075,0.0001195
Ag-Al-Au-Mo,0.04,0.0001195
Ag-Al-Au-Nb,-0.085,0.0001195
Ag-Al-Au-Ni,-0.1425,0.0001195
Ag-Al-Au-Os,-0.155,0.0001195
Ag-Al-Au-Pd,-0.295,0.0001195
Ag-Al-Au-Pt,-0.29,0.0001195
Ag-Al-Au-Re,0.025,0.0001195
Ag-Al-Au-Rh,-0.2675,0.0001195
Ag-Al-Au-Ta,-0.055,0.0001195
Ag-Al-Au-Ti,-0.2525,0.0001195
Ag-Al-Au-V,-0.0425,0.0001195
Ag-Al-Au-W,0.1375,0.0001195
Ag-Al-Au-Zn,-0.1675,0.0001195
Ag-Al-Au-Zr,-0.29,0.0001195
Ag-Al-Cd-Co,0.0475,0.0001195
Ag-Al-Cd-Cr,0.2425,0.0001195
Ag-Al-Cd-Cu,-0.0025,0.0001195
Ag-Al-Cd-Fe,0.085,0.0001195
Ag-Al-Cd-Hf,-0.115,0.0001195
Ag-Al-Cd-Ir,-0.215,0.0001195
Ag-Al-Cd-Mg,-0.0775,0.0001195
Ag-Al-Cd-Mn,0.065,0.0001195
Ag-Al-Cd-Mo,0.15,0.0001195
Ag-Al-Cd-Nb,0.055,0.0001195
Ag-Al-Cd-Ni,-0.06,0.0001195
Ag-Al-Cd-Os,-0.07,0.0001195
Ag-Al-Cd-Pd,-0.2725,0.0001195
Ag-Al-Cd-Pt,-0.2775,0.0001195
Ag-Al-Cd-Re,0.12,0.0001195
Ag-Al-Cd-Rh,-0.2325,0.0001195
Ag-Al-Cd-Ta,0.1,0.0001195
Ag-Al-Cd-Ti,-0.0875,0.0001195
Ag-Al-Cd-V,0.095,0.0001195
Ag-Al-Cd-W,0.2575,0.0001195
Ag-Al-Cd-Zn,-0.02,0.0001195
Ag-Al-Cd-Zr,-0.1225,0.0001195
Ag-Al-Co-Cr,0.11,0.0001195
