,mix_enthalpy,config_entropy
Ag-Al-Au-Cd-Co,-0.13000000000000006,0.1609
Ag-Al-Au-Cd-Cr,0.8599999999999999,0.1609
Ag-Al-Au-Cd-Cu,-0.53,0.1609
Ag-Al-Au-Cd-Fe,-0.019999999999999907,0.1609
Ag-Al-Au-Cd-Hf,-1.4000000000000001,0.1609
Ag-Al-Au-Cd-Ir,-1.2999999999999998,0.1609
Ag-Al-Au-Cd-Mg,-1.3000000000000003,0.1609
Ag-Al-Au-Cd-Mn,-0.22999999999999998,0.1609
Ag-Al-Au-Cd-Mo,0.35,0.1609
Ag-Al-Au-Cd-Nb,-0.31,0.1609
Ag-Al-Au-Cd-Ni,-0.6500000000000001,0.1609
Ag-Al-Au-Cd-Os,-0.68,0.1609
Ag-Al-Au-Cd-Pd,-1.65,0.1609
Ag-Al-Au-Cd-Pt,-1.5699999999999998,0.1609
Ag-Al-Au-Cd-Re,0.29,0.1609
Ag-Al-Au-Cd-Rh,-1.38,0.1609
Ag-Al-Au-Cd-Ta,-0.10000000000000003,0.1609
Ag-Al-Au-Cd-Ti,-1.19,0.1609
Ag-Al-Au-Cd-V,-0.0500000000000001,0.1609
Ag-Al-Au-Cd-W,0.91,0.1609
Ag-Al-Au-Cd-Zn,-0.8099999999999999,0.1609
Ag-Al-Au-Cd-Zr,-1.4100000000000001,0.1609
Ag-Al-Au-Co-Cr,0.7,0.1609
Ag-Al-Au-Co-Cu,-0.15000000000000005,0.1609
Ag-Al-Au-Co-Fe,0.12000000000000008,0.1609
Ag-Al-Au-Co-Hf,-1.2,0.1609
Ag-Al-Au-Co-Ir,-1.0400000000000003,0.1609
Ag-Al-Au-Co-Mg,-0.7300000000000001,0.1609
Ag-Al-Au-Co-Mn,-0.08999999999999997,0.1609
Ag-Al-Au-Co-Mo,0.44999999999999996,0.1609
Ag-Al-Au-Co-Nb,-0.15999999999999998,0.1609
Ag-Al-Au-Co-Ni,-0.41000000000000003,0.1609
Ag-Al-Au-Co-Os,-0.6300000000000001,0.1609
Ag-Al-Au-Co-Pd,-0.9400000000000002,0.1609
Ag-Al-Au-Co-Pt,-1.01,0.1609
Ag-Al-Au-Co-Re,0.26999999999999996,0.1609
Ag-Al-Au-Co-Rh,-0.9500000000000002,0.1609
Ag-Al-Au-Co-Ta,-0.11,0.1609
Ag-Al-Au-Co-Ti,-1.08,0.1609
Ag-Al-Au-Co-V,-0.09999999999999991,0.1609
Ag-Al-Au-Co-W,0.85,0.1609
Ag-Al-Au-Co-Zn,-0.55,0.1609
Ag-Al-Au-Co-Zr,-1.07,0.1609
Ag-Al-Au-Cr-Cu,0.6699999999999999,0.1609
Ag-Al-Au-Cr-Fe,0.77,0.1609
Ag-Al-Au-Cr-Hf,-0.21,0.1609
Ag-Al-Au-Cr-Ir,-0.5,0.1609
Ag-Al-Au-Cr-Mg,0.21000000000000002,0.1609
Ag-Al-Au-Cr-Mn,0.49,0.1609
Ag-Al-Au-Cr-Mo,1.07,0.1609
Ag-Al-Au-Cr-Nb,0.6,0.1609
Ag-Al-Au-Cr-Ni,0.29,0.1609
Ag-Al-Au-Cr-Os,-0.08000000000000007,0.1609
Ag-Al-Au-Cr-Pd,-0.23,0.1609
Ag-Al-Au-Cr-Pt,-0.4400000000000001,0.1609
Ag-Al-Au-Cr-Re,0.8400000000000001,0.1609
Ag-Al-Au-Cr-Rh,-0.35000000000000003,0.1609
Ag-Al-Au-Cr-Ta,0.68,0.1609
Ag-Al-Au-Cr-Ti,-0.19000000000000003,0.1609
Ag-Al-Au-Cr-V,0.5700000000000001,0.1609
Ag-Al-Au-Cr-W,1.4600000000000002,0.1609
Ag-Al-Au-Cr-Zn,0.27,0.1609
Ag-Al-Au-Cr-Zr,-0.09000000000000002,0.1609
Ag-Al-Au-Cu-Fe,0.04000000000000006,0.1609
Ag-Al-Au-Cu-Hf,-1.27,0.1609
Ag-Al-Au-Cu-Ir,-1.2699999999999998,0.1609
Ag-Al-Au-Cu-Mg,-1.0999999999999999,0.1609
Ag-Al-Au-Cu-Mn,-0.19999999999999996,0.1609
Ag-Al-Au-Cu-Mo,0.39000000000000007,0.1609
Ag-Al-Au-Cu-Nb,-0.22,0.1609
Ag-Al-Au-Cu-Ni,-0.6,0.1609
Ag-Al-Au-Cu-Os,-0.79,0.1609
Ag-Al-Au-Cu-Pd,-1.3,0.1609
Ag-Al-Au-Cu-Pt,-1.29,0.1609
Ag-Al-Au-Cu-Re,0.19,0.1609
Ag-Al-Au-Cu-Rh,-1.19,0.1609
Ag-Al-Au-Cu-Ta,-0.11000000000000001,0.1609
Ag-Al-Au-Cu-Ti,-1.1,0.1609
Ag-Al-Au-Cu-V,-0.06999999999999998,0.1609
Ag-Al-Au-Cu-W,0.86,0.1609
Ag-Al-Au-Cu-Zn,-0.82,0.1609
Ag-Al-Au-Cu-Zr,-1.2100000000000002,0.1609
Ag-Al-Au-Fe-Hf,-0.94,0.1609
Ag-Al-Au-Fe-Ir,-1.04,0.1609
Ag-Al-Au-Fe-Mg,-0.5599999999999999,0.1609
Ag-Al-Au-Fe-Mn,-0.019999999999999952,0.1609
Ag-Al-Au-Fe-Mo,0.56,0.1609
Ag-Al-Au-Fe-Nb,-0.01999999999999992,0.1609
Ag-Al-Au-Fe-Ni,-0.35000000000000003,0.1609
Ag-Al-Au-Fe-Os,-0.6199999999999999,0.1609
Ag-Al-Au-Fe-Pd,-0.81,0.1609
Ag-Al-Au-Fe-Pt,-0.9100000000000001,0.1609
Ag-Al-Au-Fe-Re,0.32,0.1609
Ag-Al-Au-Fe-Rh,-0.9400000000000001,0.1609
Ag-Al-Au-Fe-Ta,0.050000000000000024,0.1609
Ag-Al-Au-Fe-Ti,-0.91,0.1609
Ag-Al-Au-Fe-V,-0.019999999999999893,0.1609
Ag-Al-Au-Fe-W,0.9700000000000001,0.1609
Ag-Al-Au-Fe-Zn,-0.42,0.1609
Ag-Al-Au-Fe-Zr,-0.8399999999999999,0.1609
Ag-Al-Au-Hf-Ir,-2.84,0.1609
Ag-Al-Au-Hf-Mg,-1.8,0.1609
Ag-Al-Au-Hf-Mn,-1.1099999999999999,0.1609
Ag-Al-Au-Hf-Mo,-0.7199999999999999,0.1609
Ag-Al-Au-Hf-Nb,-1.17,0.1609
Ag-Al-Au-Hf-Ni,-1.69,0.1609
Ag-Al-Au-Hf-Os,-2.06,0.1609
Ag-Al-Au-Hf-Pd,-2.59,0.1609
Ag-Al-Au-Hf-Pt,-2.88,0.1609
Ag-Al-Au-Hf-Re,-1.0499999999999998,0.1609
Ag-Al-Au-Hf-Rh,-2.6999999999999997,0.1609
Ag-Al-Au-Hf-Ta,-1.02,0.1609
Ag-Al-Au-Hf-Ti,-1.8599999999999999,0.1609
Ag-Al-Au-Hf-V,-0.9000000000000001,0.1609
Ag-Al-Au-Hf-W,-0.23999999999999988,0.1609
Ag-Al-Au-Hf-Zn,-1.65,0.1609
Ag-Al-Au-Hf-Zr,-2.01,0.1609
Ag-Al-Au-Ir-Mg,-2.13,0.1609
Ag-Al-Au-Ir-Mn,-1.2799999999999998,0.1609
Ag-Al-Au-Ir-Mo,-0.8999999999999999,0.1609
Ag-Al-Au-Ir-Nb,-1.65,0.1609
Ag-Al-Au-Ir-Ni,-1.4799999999999998,0.1609
Ag-Al-Au-Ir-Os,-1.7899999999999998,0.1609
Ag-Al-Au-Ir-Pd,-1.96,0.1609
Ag-Al-Au-Ir-Pt,-1.95,0.1609
Ag-Al-Au-Ir-Re,-1.05,0.1609
Ag-Al-Au-Ir-Rh,-2.0399999999999996,0.1609
