,Comp,mix_enthalpy,Tm,Misc_T,Decomposition
0,Cr-Fe-Hf,169.0,2166.0,3000,Hf2Fe + HfFe2 + Cr
1,Cr-Fe-Mn,48.0,1837.0,600,Mn + Cr + Fe
2,Cr-Fe-Ta,100.0,2428.0,2400,Cr + TaFe
3,Cr-Fe-Ti,33.0,1977.0,3000,Cr + TiFe
4,Cr-Fe-V,-5.0,2058.0,1400,V2CrFe + VFe3 + Cr
5,Cr-Fe-W,160.0,2562.0,2000,Cr + Fe2W + W
6,Cr-Hf-Ta,203.0,2660.0,2400,Hf + TaCr
7,Cr-Hf-V,161.0,2290.0,1800,Hf + V + Cr
8,Cr-Hf-W,212.0,2794.0,3000,HfW2 + Hf + Cr
9,Cr-Mn-Ti,-15.0,1880.0,3000,TiMn + Cr
10,Cr-Mn-V,-122.0,1961.0,200,MnV + Cr
11,Cr-Ta-Ti,126.0,2471.0,1400,Ta + Ti + Cr
12,Cr-Ta-V,53.0,2552.0,1200,Ta + TaV2 + Cr
13,Cr-Ta-W,69.0,3056.0,1200,Ta3W + TaW3 + Cr
14,Cr-Ti-V,56.0,2101.0,600,Ti + V + Cr
15,Cr-Ti-W,94.0,2605.0,1000,Ti + Cr + W
16,Cr-V-W,-6.0,2686.0,400,Cr + VW
17,Fe-Hf-Ta,81.0,2537.0,2800,Hf2Fe + HfFe2 + Ta
18,Fe-Hf-V,78.0,2167.0,2800,Hf2Fe + V3Fe + HfFe2
19,Fe-Hf-W,150.0,2671.0,3000,HfW2 + HfFe2
20,Fe-Mn-Ti,-105.0,1757.0,2000,Mn + TiFe
21,Fe-Mn-V,-103.0,1838.0,600,VFe3 + Mn + MnV
22,Fe-Ta-Ti,-11.0,2348.0,3000,TiFe + Ta
23,Fe-Ta-V,25.0,2429.0,2000,TaV2 + V3Fe + TaFe
24,Fe-Ta-W,62.0,2933.0,2200,Ta6Fe7 + TaW3 + TaFe2
25,Fe-Ti-V,-42.0,1978.0,3000,V + TiFe
26,Fe-Ti-W,17.0,2482.0,3000,TiFe + W
27,Fe-V-W,26.0,2563.0,1600,V3Fe + VW3 + VFe3
28,Hf-Ta-V,149.0,2661.0,2200,Hf + TaV2 + Ta
29,Hf-Ta-W,72.0,3165.0,1800,Hf + Ta + HfW2
30,Hf-V-W,99.0,2795.0,2000,Hf + V + HfW2
31,Mn-Ti-V,-129.0,1881.0,3000,TiMn + V
32,Ta-Ti-V,87.0,2472.0,1600,Ta + Ti + TaV2
33,Ta-Ti-W,-3.0,2976.0,400,Ta3W + TaW3 + Ti
34,Ta-V-W,-28.0,3057.0,800,Ta3W + TaV2 + TaW3
35,Ti-V-W,-3.0,2606.0,3000,VW + Ti
