,mix_enthalpy,config_entropy
Ag-Al-As,-0.0776563,9.47e-05
Ag-Al-Au,-0.1129134,9.47e-05
Ag-Al-Bi,0.0951942,9.47e-05
Ag-Al-Cd,0.0566523,9.47e-05
Ag-Al-Co,0.0764277,9.47e-05
Ag-Al-Cr,0.2187469,9.47e-05
Ag-Al-Cu,0.0319353,9.47e-05
Ag-Al-Fe,0.0771817,9.47e-05
Ag-Al-Ga,0.0376814,9.47e-05
Ag-Al-Ge,0.0432974,9.47e-05
Ag-Al-Hf,-0.0459143,9.47e-05
Ag-Al-Hg,0.1140921,9.47e-05
Ag-Al-In,0.0994228,9.47e-05
Ag-Al-Ir,-0.0198275,9.47e-05
Ag-Al-Mg,-0.0261376,9.47e-05
Ag-Al-Mn,0.0964074,9.47e-05
Ag-Al-Mo,0.1508142,9.47e-05
Ag-Al-Nb,0.0580922,9.47e-05
Ag-Al-Ni,-0.0497121,9.47e-05
Ag-Al-Os,0.2626704,9.47e-05
Ag-Al-Pb,0.1763204,9.47e-05
Ag-Al-Pd,-0.2864876,9.47e-05
Ag-Al-Pt,-0.302734,9.47e-05
Ag-Al-Re,0.2496266,9.47e-05
Ag-Al-Rh,-0.1456225,9.47e-05
Ag-Al-Ru,0.1034265,9.47e-05
Ag-Al-Sb,0.046678,9.47e-05
Ag-Al-Sc,-0.1468016,9.47e-05
Ag-Al-Si,0.0226131,9.47e-05
Ag-Al-Sn,0.1045233,9.47e-05
Ag-Al-Ta,0.1088854,9.47e-05
Ag-Al-Te,-0.0882138,9.47e-05
Ag-Al-Ti,-0.0540478,9.47e-05
Ag-Al-V,0.0963437,9.47e-05
Ag-Al-W,0.270917,9.47e-05
Ag-Al-Y,-0.1182434,9.47e-05
Ag-Al-Zn,0.0355682,9.47e-05
Ag-Al-Zr,-0.0960864,9.47e-05
Ag-As-Au,-0.0453535,9.47e-05
Ag-As-Bi,-0.022611,9.47e-05
Ag-As-Cd,-0.0831243,9.47e-05
Ag-As-Co,0.084949,9.47e-05
Ag-As-Cr,0.2104488,9.47e-05
Ag-As-Cu,0.0248534,9.47e-05
Ag-As-Fe,0.0762459,9.47e-05
Ag-As-Ga,-0.0719867,9.47e-05
Ag-As-Ge,-0.0693597,9.47e-05
Ag-As-Hf,-0.2821073,9.47e-05
Ag-As-Hg,-0.0029464,9.47e-05
Ag-As-In,-0.0695763,9.47e-05
Ag-As-Ir,0.1483695,9.47e-05
Ag-As-Mg,-0.2873746,9.47e-05
Ag-As-Mn,0.0435732,9.47e-05
Ag-As-Mo,0.1685792,9.47e-05
Ag-As-Nb,-0.051252,9.47e-05
Ag-As-Ni,-0.0056627,9.47e-05
Ag-As-Os,0.3595541,9.47e-05
Ag-As-Pb,-0.0047511,9.47e-05
Ag-As-Pd,-0.1780913,9.47e-05
Ag-As-Pt,-0.1073977,9.47e-05
Ag-As-Re,0.3171371,9.47e-05
Ag-As-Rh,-0.0471142,9.47e-05
Ag-As-Ru,0.160678,9.47e-05
Ag-As-Sb,-0.0559785,9.47e-05
Ag-As-Sc,-0.5014562,9.47e-05
Ag-As-Si,-0.0486503,9.47e-05
Ag-As-Sn,-0.046773,9.47e-05
Ag-As-Ta,0.0343163,9.47e-05
Ag-As-Te,-0.0899785,9.47e-05
Ag-As-Ti,-0.2800187,9.47e-05
Ag-As-V,-0.0003276,9.47e-05
Ag-As-W,0.3179941,9.47e-05
Ag-As-Y,-0.522422,9.47e-05
Ag-As-Zn,-0.0465456,9.47e-05
Ag-As-Zr,-0.3590368,9.47e-05
Ag-Au-Bi,0.0189344,9.47e-05
Ag-Au-Cd,-0.0788586,9.47e-05
Ag-Au-Co,0.2812029,9.47e-05
Ag-Au-Cr,0.4183757,9.47e-05
Ag-Au-Cu,0.0651309,9.47e-05
Ag-Au-Fe,0.2269926,9.47e-05
Ag-Au-Ga,-0.0559559,9.47e-05
Ag-Au-Ge,0.0009692,9.47e-05
Ag-Au-Hf,-0.1041948,9.47e-05
Ag-Au-Hg,0.0831736,9.47e-05
Ag-Au-In,-0.0193212,9.47e-05
Ag-Au-Ir,0.3675937,9.47e-05
Ag-Au-Mg,-0.2657362,9.47e-05
Ag-Au-Mn,0.1783506,9.47e-05
Ag-Au-Mo,0.3289239,9.47e-05
Ag-Au-Nb,0.1353199,9.47e-05
Ag-Au-Ni,0.1922632,9.47e-05
Ag-Au-Os,0.5545713,9.47e-05
Ag-Au-Pb,0.0588948,9.47e-05
Ag-Au-Pd,-0.0093724,9.47e-05
Ag-Au-Pt,0.0853112,9.47e-05
Ag-Au-Re,0.4964716,9.47e-05
Ag-Au-Rh,0.2263582,9.47e-05
Ag-Au-Ru,0.431704,9.47e-05
Ag-Au-Sb,-0.0039553,9.47e-05
Ag-Au-Sc,-0.2985391,9.47e-05
Ag-Au-Si,-0.0225578,9.47e-05
Ag-Au-Sn,0.0008733,9.47e-05
Ag-Au-Ta,0.1788095,9.47e-05
Ag-Au-Te,-0.0062424,9.47e-05
Ag-Au-Ti,-0.0684508,9.47e-05
Ag-Au-V,0.1900245,9.47e-05
Ag-Au-W,0.4510196,9.47e-05
Ag-Au-Y,-0.302674,9.47e-05
Ag-Au-Zn,-0.0856207,9.47e-05
Ag-Au-Zr,-0.1428417,9.47e-05
Ag-Bi-Cd,0.0266722,9.47e-05
Ag-Bi-Co,0.3140384,9.47e-05
Ag-Bi-Cr,0.5127326,9.47e-05
Ag-Bi-Cu,0.1793849,9.47e-05
Ag-Bi-Fe,0.2999183,9.47e-05
Ag-Bi-Ga,0.0524162,9.47e-05
Ag-Bi-Ge,0.0473733,9.47e-05
Ag-Bi-Hf,0.0498569,9.47e-05
Ag-Bi-Hg,0.0819775,9.47e-05
Ag-Bi-In,0.0340242,9.47e-05
Ag-Bi-Ir,0.3593923,9.47e-05
Ag-Bi-Mg,-0.085882,9.47e-05
Ag-Bi-Mn,0.3337664,9.47e-05
Ag-Bi-Mo,0.3957153,9.47e-05
Ag-Bi-Nb,0.2815712,9.47e-05
Ag-Bi-Ni,0.214348,9.47e-05
