,mix_enthalpy,config_entropy
Ag-Al-Au,-0.38,0.1099
Ag-Al-Cd,-0.03,0.1099
Ag-Al-Co,-0.04999999999999999,0.1099
Ag-Al-Cr,0.36,0.1099
Ag-Al-Cu,-0.06999999999999999,0.1099
Ag-Al-Fe,0.07000000000000006,0.1099
Ag-Al-Hf,-0.41,0.1099
Ag-Al-Ir,-0.79,0.1099
Ag-Al-Mg,-0.21,0.1099
Ag-Al-Mn,0.020000000000000018,0.1099
Ag-Al-Mo,0.23999999999999996,0.1099
Ag-Al-Nb,0.020000000000000018,0.1099
Ag-Al-Ni,-0.33,0.1099
Ag-Al-Os,-0.39,0.1099
Ag-Al-Pd,-0.79,0.1099
Ag-Al-Pt,-0.87,0.1099
Ag-Al-Re,0.12000000000000005,0.1099
Ag-Al-Rh,-0.79,0.1099
Ag-Al-Ta,0.10999999999999996,0.1099
Ag-Al-Ti,-0.33999999999999997,0.1099
Ag-Al-V,0.09000000000000005,0.1099
Ag-Al-W,0.49999999999999994,0.1099
Ag-Al-Zn,-0.11,0.1099
Ag-Al-Zr,-0.41,0.1099
Ag-Au-Cd,-0.27,0.1099
Ag-Au-Co,0.48000000000000004,0.1099
Ag-Au-Cr,0.8799999999999999,0.1099
Ag-Au-Cu,0.08,0.1099
Ag-Au-Fe,0.4700000000000001,0.1099
Ag-Au-Hf,-0.47,0.1099
Ag-Au-Ir,0.15000000000000002,0.1099
Ag-Au-Mg,-0.6799999999999999,0.1099
Ag-Au-Mn,0.27,0.1099
Ag-Au-Mo,0.72,0.1099
Ag-Au-Nb,0.27,0.1099
Ag-Au-Ni,0.29,0.1099
Ag-Au-Os,0.33999999999999997,0.1099
Ag-Au-Pd,-0.09,0.1099
Ag-Au-Pt,0.07,0.1099
Ag-Au-Re,0.75,0.1099
Ag-Au-Rh,0.14,0.1099
Ag-Au-Ta,0.33999999999999997,0.1099
Ag-Au-Ti,-0.3,0.1099
Ag-Au-V,0.4,0.1099
Ag-Au-W,0.98,0.1099
Ag-Au-Zn,-0.31,0.1099
Ag-Au-Zr,-0.44,0.1099
Ag-Cd-Co,0.48,0.1099
Ag-Cd-Cr,1.04,0.1099
Ag-Cd-Cu,0.09999999999999999,0.1099
Ag-Cd-Fe,0.54,0.1099
Ag-Cd-Hf,-0.14,0.1099
Ag-Cd-Ir,-0.04000000000000001,0.1099
Ag-Cd-Mg,-0.35,0.1099
Ag-Cd-Mn,0.44,0.1099
Ag-Cd-Mo,0.77,0.1099
Ag-Cd-Nb,0.44,0.1099
Ag-Cd-Ni,0.22999999999999998,0.1099
Ag-Cd-Os,0.29,0.1099
Ag-Cd-Pd,-0.39,0.1099
Ag-Cd-Pt,-0.27,0.1099
Ag-Cd-Re,0.74,0.1099
Ag-Cd-Rh,-0.11000000000000001,0.1099
Ag-Cd-Ta,0.57,0.1099
Ag-Cd-Ti,-0.030000000000000006,0.1099
Ag-Cd-V,0.56,0.1099
Ag-Cd-W,1.07,0.1099
Ag-Cd-Zn,-0.11000000000000001,0.1099
Ag-Cd-Zr,-0.16,0.1099
Ag-Co-Cr,0.91,0.1099
Ag-Co-Cu,0.51,0.1099
Ag-Co-Fe,0.71,0.1099
Ag-Co-Hf,0.08999999999999997,0.1099
Ag-Co-Ir,0.25,0.1099
Ag-Co-Mg,0.25,0.1099
Ag-Co-Mn,0.6100000000000001,0.1099
Ag-Co-Mo,0.9,0.1099
Ag-Co-Nb,0.62,0.1099
Ag-Co-Ni,0.5,0.1099
Ag-Co-Os,0.37000000000000005,0.1099
Ag-Co-Pd,0.35,0.1099
Ag-Co-Pt,0.31999999999999995,0.1099
Ag-Co-Re,0.75,0.1099
Ag-Co-Rh,0.35000000000000003,0.1099
Ag-Co-Ta,0.5899999999999999,0.1099
Ag-Co-Ti,0.10999999999999999,0.1099
Ag-Co-V,0.54,0.1099
Ag-Co-W,1.04,0.1099
Ag-Co-Zn,0.18,0.1099
Ag-Co-Zr,0.21,0.1099
Ag-Cr-Cu,0.8999999999999999,0.1099
Ag-Cr-Fe,0.93,0.1099
Ag-Cr-Hf,0.65,0.1099
Ag-Cr-Ir,0.36,0.1099
Ag-Cr-Mg,0.76,0.1099
Ag-Cr-Mn,0.76,0.1099
Ag-Cr-Mo,1.09,0.1099
Ag-Cr-Nb,0.9500000000000001,0.1099
Ag-Cr-Ni,0.77,0.1099
Ag-Cr-Os,0.49,0.1099
Ag-Cr-Pd,0.63,0.1099
Ag-Cr-Pt,0.46,0.1099
Ag-Cr-Re,0.8899999999999999,0.1099
Ag-Cr-Rh,0.52,0.1099
Ag-Cr-Ta,0.95,0.1099
Ag-Cr-Ti,0.5700000000000001,0.1099
Ag-Cr-V,0.78,0.1099
Ag-Cr-W,1.22,0.1099
Ag-Cr-Zn,0.5700000000000001,0.1099
Ag-Cr-Zr,0.76,0.1099
Ag-Cu-Fe,0.65,0.1099
Ag-Cu-Hf,0.039999999999999994,0.1099
Ag-Cu-Ir,0.04000000000000001,0.1099
