System Name,12.5,25,50,75,87.5
Mo-Nb, -10.85115156, -10.75736148, -10.57996291, -10.34127811, -10.21651229
Mo-Ta, -11.08573431, -11.22422860, -11.48226965, -11.52196695, -11.73382541
Mo-Ti, -10.60870654, -10.23858950, -9.40585204, -8.54647608, -8.18474214
Mo-V, -10.72963998, -10.48878214, -9.96171719, -9.37564822, -9.07347559
Mo-W, -11.18084584, -11.43576030, -11.94221485, -12.44923309, -12.70199528
Mo-Zr, -10.59830426, -10.22412150, -9.35138117, -9.05083257, -8.78034417
Nb-Ta, -10.30913799, -10.52487682, -10.95437774, -11.38376969, -11.59780738
Nb-Ti, -9.79603869, -9.50289848, -8.91095941, -8.32847390, -8.02610502
Nb-V, -9.92081564, -9.75719161, -9.45709353, -9.18612967, -9.06466662
Nb-W, -10.44899099, -10.82174656, -11.55846522, -12.28462997, -12.62593788
Nb-Zr, -9.86438955, -9.64992045, -9.23811015, -8.85056622, -8.67011518
Ta-Ti, -11.28907827, -10.76663733, -9.74323555, -8.74261676, -8.26024377
Ta-V, -11.41385290, -11.00932740, -10.32751035, -9.30005736, -9.28299422
Ta-W, -11.96513752, -12.13432559, -12.45566397, -12.74643957, -12.85769489
Ta-Zr, -11.34903030, -10.84499063, -10.05520692, -9.25072234, -8.86547647
Ti-V, -7.89792999, -8.02595855, -8.30300033, -8.37103205, -8.46948809
Ti-W, -8.40956404, -9.05707755, -10.37956781, -11.72180336, -12.37290610
Ti-Zr, -7.83038149, -7.91304384, -8.11879429, -8.28032995, -8.37653365
V-W, -9.45106825, -9.98745645, -11.01567408, -12.02450976, -12.50084799
V-Zr, -8.79346478, -8.68707606, -8.54701346, -8.49218707, -8.49598601
W-Zr, -12.37657488, -11.77173408, -10.59666949, -9.50181247, -9.00426158
