Alloys,Temp,Avg_Tm
Cr-Fe-Hf,2200.0,2200.0
Cr-Fe-Mn,1900.0,1900.0
Cr-Fe-Ta,2500.0,2500.0
Cr-Fe-Ti,2000.0,2000.0
Cr-Fe-V,1100.0,2100.0
Cr-Fe-W,2600.0,2600.0
Cr-Hf-Mn,2100.0,2100.0
Cr-Hf-Ta,2700.0,2700.0
Cr-Hf-Ti,2300.0,2300.0
Cr-Hf-V,2300.0,2300.0
Cr-Hf-W,2800.0,2800.0
Cr-Mn-Ta,2400.0,2400.0
Cr-Mn-Ti,1500.0,1900.0
Cr-Mn-V,1400.0,2000.0
Cr-Mn-W,1800.0,2500.0
Cr-Ta-Ti,2100.0,2500.0
Cr-Ta-V,1900.0,2600.0
Cr-Ta-W,2500.0,3100.0
Cr-Ti-V,900.0,2200.0
Cr-Ti-W,1600.0,2700.0
Cr-V-W,1400.0,2700.0
Fe-Hf-Mn,2000.0,2000.0
Fe-Hf-Ta,2600.0,2600.0
Fe-Hf-Ti,2100.0,2100.0
Fe-Hf-V,2200.0,2200.0
Fe-Hf-W,2700.0,2700.0
Fe-Mn-Ta,2300.0,2300.0
Fe-Mn-Ti,1800.0,1800.0
Fe-Mn-V,1500.0,1900.0
Fe-Mn-W,2400.0,2400.0
Fe-Ta-Ti,2300.0,2400.0
Fe-Ta-V,1900.0,2500.0
Fe-Ta-W,3000.0,3000.0
Fe-Ti-V,2000.0,2000.0
Fe-Ti-W,2500.0,2500.0
Fe-V-W,2600.0,2600.0
Hf-Mn-Ta,2500.0,2500.0
Hf-Mn-Ti,2000.0,2000.0
Hf-Mn-V,2100.0,2100.0
Hf-Mn-W,2600.0,2600.0
Hf-Ta-Ti,700.0,2600.0
Hf-Ta-V,2000.0,2700.0
Hf-Ta-W,1500.0,3200.0
Hf-Ti-V,1200.0,2300.0
Hf-Ti-W,1400.0,2800.0
Hf-V-W,1600.0,2800.0
Mn-Ta-Ti,2000.0,2300.0
Mn-Ta-V,2000.0,2400.0
Mn-Ta-W,2900.0,2900.0
Mn-Ti-V,1100.0,1900.0
Mn-Ti-W,1900.0,2400.0
Mn-V-W,1700.0,2500.0
Ta-Ti-V,1600.0,2500.0
Ta-Ti-W,400.0,3000.0
Ta-V-W,1200.0,3100.0
Ti-V-W,300.0,2700.0
