Alloys,Temp,Avg_Tm
Cr-Fe-Hf-Mn-Ta,2300.0,2300.0
Cr-Fe-Hf-Mn-Ti,2000.0,2000.0
Cr-Fe-Hf-Mn-V,2100.0,2100.0
Cr-Fe-Hf-Mn-W,2400.0,2400.0
Cr-Fe-Hf-Ta-Ti,2400.0,2400.0
Cr-Fe-Hf-Ta-V,2400.0,2400.0
Cr-Fe-Hf-Ta-W,2700.0,2700.0
Cr-Fe-Hf-Ti-V,2200.0,2200.0
Cr-Fe-Hf-Ti-W,2500.0,2500.0
Cr-Fe-Hf-V-W,2500.0,2500.0
Cr-Fe-Mn-Ta-Ti,2200.0,2200.0
Cr-Fe-Mn-Ta-V,2200.0,2200.0
Cr-Fe-Mn-Ta-W,2500.0,2500.0
Cr-Fe-Mn-Ti-V,2000.0,2000.0
Cr-Fe-Mn-Ti-W,2300.0,2300.0
Cr-Fe-Mn-V-W,2300.0,2300.0
Cr-Fe-Ta-Ti-V,2300.0,2300.0
Cr-Fe-Ta-Ti-W,2600.0,2600.0
Cr-Fe-Ta-V-W,2700.0,2700.0
Cr-Fe-Ti-V-W,2400.0,2400.0
Cr-Hf-Mn-Ta-Ti,2300.0,2300.0
Cr-Hf-Mn-Ta-V,2400.0,2400.0
Cr-Hf-Mn-Ta-W,2700.0,2700.0
Cr-Hf-Mn-Ti-V,2100.0,2100.0
Cr-Hf-Mn-Ti-W,2400.0,2400.0
Cr-Hf-Mn-V-W,2500.0,2500.0
Cr-Hf-Ta-Ti-V,2500.0,2500.0
Cr-Hf-Ta-Ti-W,2800.0,2800.0
Cr-Hf-Ta-V-W,2800.0,2800.0
Cr-Hf-Ti-V-W,2600.0,2600.0
Cr-Mn-Ta-Ti-V,2300.0,2300.0
Cr-Mn-Ta-Ti-W,2600.0,2600.0
Cr-Mn-Ta-V-W,2600.0,2600.0
Cr-Mn-Ti-V-W,2400.0,2400.0
Cr-Ta-Ti-V-W,2700.0,2700.0
Fe-Hf-Mn-Ta-Ti,2300.0,2300.0
Fe-Hf-Mn-Ta-V,2300.0,2300.0
Fe-Hf-Mn-Ta-W,2600.0,2600.0
Fe-Hf-Mn-Ti-V,2000.0,2000.0
Fe-Hf-Mn-Ti-W,2300.0,2300.0
Fe-Hf-Mn-V-W,2400.0,2400.0
Fe-Hf-Ta-Ti-V,2400.0,2400.0
Fe-Hf-Ta-Ti-W,2700.0,2700.0
Fe-Hf-Ta-V-W,2700.0,2700.0
Fe-Hf-Ti-V-W,2500.0,2500.0
Fe-Mn-Ta-Ti-V,2200.0,2200.0
Fe-Mn-Ta-Ti-W,2500.0,2500.0
Fe-Mn-Ta-V-W,2500.0,2500.0
Fe-Mn-Ti-V-W,2300.0,2300.0
Fe-Ta-Ti-V-W,2600.0,2600.0
Hf-Mn-Ta-Ti-V,2300.0,2300.0
Hf-Mn-Ta-Ti-W,2600.0,2600.0
Hf-Mn-Ta-V-W,2700.0,2700.0
Hf-Mn-Ti-V-W,2400.0,2400.0
Hf-Ta-Ti-V-W,2800.0,2800.0
Mn-Ta-Ti-V-W,2600.0,2600.0
